Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 2,s0,2020-11-21T08:50:59.827038,2000-01-01 08:50:59,Melanie,D,Econome,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:55:30.198120,2000-01-01 08:55:30,Melanie,D,Econome,Feeling,joie,Aurore,B,Presse,,,
Session 2,s1,2020-11-21T08:55:30.323684,2000-01-01 08:55:30,Cyril,A,Corporate,Feeling,colere,Aurore,B,Presse,,,
Session 2,s1,2020-11-21T08:55:35.278920,2000-01-01 08:55:35,Cyril,A,Corporate,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s1,2020-11-21T08:55:35.513066,2000-01-01 08:55:35,Robot,Robot,Robot,Transmission,joie,groupe,groupe,groupe,,,
Session 2,s1,2020-11-21T08:55:47.959042,2000-01-01 08:55:47,Cyril,A,Corporate,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s1,2020-11-21T08:55:50.879530,2000-01-01 08:55:50,Aurore,B,Presse,Feeling,peur,theme,theme,theme,Bastien,C,Ecolo
Session 2,s1,2020-11-21T08:56:01.660835,2000-01-01 08:56:01,Cyril,A,Corporate,Feeling,peur,Melanie,D,Econome,,,
Session 2,s1,2020-11-21T08:56:07.467063,2000-01-01 08:56:07,Aurore,B,Presse,Feeling,colere,theme,theme,theme,Melanie,D,Econome
Session 2,s1,2020-11-21T08:56:08.633853,2000-01-01 08:56:08,Melanie,D,Econome,Feeling,colere,Bastien,C,Ecolo,Cyril,A,Corporate
Session 2,s1,2020-11-21T08:56:10.701426,2000-01-01 08:56:10,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s1,2020-11-21T08:56:17.984400,2000-01-01 08:56:17,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Cyril,A,Corporate
Session 2,s1,2020-11-21T08:56:23.811778,2000-01-01 08:56:23,Cyril,A,Corporate,Feeling,joie,Aurore,B,Presse,,,
Session 2,s1,2020-11-21T08:56:27.472819,2000-01-01 08:56:27,Cyril,A,Corporate,Feeling,colere,Melanie,D,Econome,,,
Session 2,s1,2020-11-21T08:56:30.683872,2000-01-01 08:56:30,Cyril,A,Corporate,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:56:31.480222,2000-01-01 08:56:31,Robot,Robot,Robot,Transmission,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:56:47.779752,2000-01-01 08:56:47,Cyril,A,Corporate,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:56:50.087634,2000-01-01 08:56:50,Bastien,C,Ecolo,Feeling,colere,theme,theme,theme,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:56:55.821628,2000-01-01 08:56:55,Bastien,C,Ecolo,Feeling,joie,theme,theme,theme,Cyril,A,Corporate
Session 2,s1,2020-11-21T08:56:58.899829,2000-01-01 08:56:58,Aurore,B,Presse,Feeling,joie,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s1,2020-11-21T08:57:17.943333,2000-01-01 08:57:17,Aurore,B,Presse,Feeling,joie,comportement,comportement,comportement,Melanie,D,Econome
Session 2,s1,2020-11-21T08:57:18.592325,2000-01-01 08:57:18,Cyril,A,Corporate,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:57:18.823464,2000-01-01 08:57:18,Robot,Robot,Robot,Transmission,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:57:22.312687,2000-01-01 08:57:22,Cyril,A,Corporate,Feeling,joie,Melanie,D,Econome,,,
Session 2,s1,2020-11-21T08:57:32.086934,2000-01-01 08:57:32,Cyril,A,Corporate,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:57:32.100856,2000-01-01 08:57:32,Melanie,D,Econome,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 2,s1,2020-11-21T08:57:41.413948,2000-01-01 08:57:41,Bastien,C,Ecolo,Feeling,joie,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s2,2020-11-21T08:59:50.392976,2000-01-01 08:59:50,Cyril,A,Corporate,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s2,2020-11-21T09:00:13.640367,2000-01-01 09:00:13,Melanie,D,Econome,Feeling,joie,Bastien,C,Ecolo,,,
Session 2,s2,2020-11-21T09:00:17.387417,2000-01-01 09:00:17,Robot,Robot,Robot,Transmission,joie,groupe,groupe,groupe,,,
Session 2,s2,2020-11-21T09:00:19.124241,2000-01-01 09:00:19,Cyril,A,Corporate,Feeling,peur,Bastien,C,Ecolo,,,
Session 2,s2,2020-11-21T09:00:44.633462,2000-01-01 09:00:44,Aurore,B,Presse,Feeling,joie,theme,theme,theme,Cyril,A,Corporate
Session 2,s2,2020-11-21T09:00:46.517185,2000-01-01 09:00:46,Robot,Robot,Robot,Transmission,joie,theme,theme,theme,groupe,groupe,groupe
Session 2,s2,2020-11-21T09:01:03.545391,2000-01-01 09:01:03,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s2,2020-11-21T09:01:05.303463,2000-01-01 09:01:05,Cyril,A,Corporate,Feeling,colere,Bastien,C,Ecolo,,,
Session 2,s2,2020-11-21T09:01:15.366907,2000-01-01 09:01:15,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s2,2020-11-21T09:01:38.407168,2000-01-01 09:01:38,Bastien,C,Ecolo,Feeling,peur,comportement,comportement,comportement,Cyril,A,Corporate
Session 2,s2,2020-11-21T09:01:50.881192,2000-01-01 09:01:50,Aurore,B,Presse,Feeling,colere,Melanie,D,Econome,comportement,comportement,comportement
Session 2,s2,2020-11-21T09:01:53.699462,2000-01-01 09:01:53,Cyril,A,Corporate,Feeling,colere,Melanie,D,Econome,,,
Session 2,s2,2020-11-21T09:01:56.396083,2000-01-01 09:01:56,Cyril,A,Corporate,Feeling,tristesse,Bastien,C,Ecolo,,,
Session 2,s2,2020-11-21T09:02:11.450028,2000-01-01 09:02:11,Melanie,D,Econome,Feeling,joie,theme,theme,theme,Aurore,B,Presse
Session 2,s2,2020-11-21T09:02:46.327885,2000-01-01 09:02:46,Melanie,D,Econome,Feeling,colere,Cyril,A,Corporate,,,
Session 2,s2,2020-11-21T09:02:47.971572,2000-01-01 09:02:47,Robot,Robot,Robot,Transmission,colere,groupe,groupe,groupe,,,
Session 2,s2,2020-11-21T09:02:59.152047,2000-01-01 09:02:59,Aurore,B,Presse,Feeling,colere,temps,temps,temps,Cyril,A,Corporate
Session 2,s2,2020-11-21T09:03:00.738536,2000-01-01 09:03:00,Cyril,A,Corporate,Feeling,colere,theme,theme,theme,groupe,groupe,groupe
Session 2,s2,2020-11-21T09:03:08.394569,2000-01-01 09:03:08,Bastien,C,Ecolo,Feeling,tristesse,temps,temps,temps,Cyril,A,Corporate
